,cluster,SAT,Top10,Accept,SFRatio,Expenses,GradRate,State_lab
0,0,1310,89,22,13,22704,94,13
1,0,1415,100,25,6,63575,81,0
2,1,1260,62,59,9,25026,72,12
3,0,1310,76,24,12,31510,92,11
4,0,1280,83,33,13,21864,90,11
5,0,1340,89,23,10,32162,95,9
6,0,1315,90,30,12,31585,95,8
7,0,1277,74,24,12,20126,92,2
8,0,1400,91,14,11,39525,97,5
9,0,1305,75,44,7,58691,87,6
10,0,1380,94,30,10,34870,91,5
11,0,1260,85,39,11,28052,89,3
12,0,1255,81,42,13,15122,94,4
13,1,1090,50,54,18,10185,80,12
14,0,1375,91,14,8,30220,95,10
15,1,1090,50,89,19,9066,69,4
16,0,1360,90,20,12,36450,93,0
17,1,1090,50,67,20,8704,67,14
18,0,1240,95,40,17,15140,78,0
19,0,1290,75,50,9,38380,87,3
20,1,1180,65,68,16,15470,85,7
21,0,1285,80,36,11,27553,90,12
22,0,1225,77,44,14,13349,92,15
23,1,1090,50,69,15,11857,71,16
24,0,1375,95,19,11,43514,96,1
